source_fa	json_path	rank	record_index	score	header
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1HUY.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1HUY/1HUY_rank06_score0.5962.json	6	18	0.5962	T=0.1, sample=17, score=0.5962, global_score=0.7066, seq_recovery=0.7233
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1HUY.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1HUY/1HUY_rank07_score0.6046.json	7	8	0.6046	T=0.1, sample=7, score=0.6046, global_score=0.7172, seq_recovery=0.7427
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1HUY.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1HUY/1HUY_rank08_score0.6047.json	8	4	0.6047	T=0.1, sample=3, score=0.6047, global_score=0.7124, seq_recovery=0.7136
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1HUY.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1HUY/1HUY_rank09_score0.6061.json	9	9	0.6061	T=0.1, sample=8, score=0.6061, global_score=0.7204, seq_recovery=0.6845
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1HUY.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1HUY/1HUY_rank10_score0.6070.json	10	13	0.607	T=0.1, sample=12, score=0.6070, global_score=0.7099, seq_recovery=0.7330
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1MYW.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1MYW/1MYW_rank01_score0.5629.json	1	10	0.5629	T=0.1, sample=9, score=0.5629, global_score=0.6798, seq_recovery=0.7035
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1MYW.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1MYW/1MYW_rank02_score0.5718.json	2	18	0.5718	T=0.1, sample=17, score=0.5718, global_score=0.6826, seq_recovery=0.7387
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1MYW.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1MYW/1MYW_rank03_score0.5794.json	3	21	0.5794	T=0.1, sample=20, score=0.5794, global_score=0.6951, seq_recovery=0.7437
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1MYW.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1MYW/1MYW_rank04_score0.5895.json	4	5	0.5895	T=0.1, sample=4, score=0.5895, global_score=0.7052, seq_recovery=0.7487
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1MYW.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1MYW/1MYW_rank05_score0.5936.json	5	7	0.5936	T=0.1, sample=6, score=0.5936, global_score=0.7069, seq_recovery=0.7286
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1MYW.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1MYW/1MYW_rank06_score0.5966.json	6	15	0.5966	T=0.1, sample=14, score=0.5966, global_score=0.7084, seq_recovery=0.7085
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1MYW.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1MYW/1MYW_rank07_score0.5992.json	7	19	0.5992	T=0.1, sample=18, score=0.5992, global_score=0.7037, seq_recovery=0.6734
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1MYW.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1MYW/1MYW_rank08_score0.6021.json	8	20	0.6021	T=0.1, sample=19, score=0.6021, global_score=0.7112, seq_recovery=0.7136
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1MYW.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1MYW/1MYW_rank09_score0.6043.json	9	3	0.6043	T=0.1, sample=2, score=0.6043, global_score=0.7180, seq_recovery=0.7286
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/1MYW.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/1MYW/1MYW_rank10_score0.6049.json	10	2	0.6049	T=0.1, sample=1, score=0.6049, global_score=0.7201, seq_recovery=0.7136
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/3BXB_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/3BXB_A/3BXB_A_rank01_score0.7785.json	1	17	0.7785	T=0.1, sample=16, score=0.7785, global_score=1.0037, seq_recovery=0.4949
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/3BXB_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/3BXB_A/3BXB_A_rank02_score0.7810.json	2	2	0.781	T=0.1, sample=1, score=0.7810, global_score=0.9982, seq_recovery=0.5561
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/3BXB_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/3BXB_A/3BXB_A_rank03_score0.7824.json	3	14	0.7824	T=0.1, sample=13, score=0.7824, global_score=0.9943, seq_recovery=0.5306
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/3BXB_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/3BXB_A/3BXB_A_rank04_score0.7850.json	4	12	0.785	T=0.1, sample=11, score=0.7850, global_score=1.0067, seq_recovery=0.5051
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/3BXB_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/3BXB_A/3BXB_A_rank05_score0.7873.json	5	13	0.7873	T=0.1, sample=12, score=0.7873, global_score=1.0081, seq_recovery=0.5051
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/3BXB_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/3BXB_A/3BXB_A_rank06_score0.7918.json	6	10	0.7918	T=0.1, sample=9, score=0.7918, global_score=1.0097, seq_recovery=0.4592
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/3BXB_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/3BXB_A/3BXB_A_rank07_score0.7931.json	7	21	0.7931	T=0.1, sample=20, score=0.7931, global_score=1.0109, seq_recovery=0.5153
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/3BXB_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/3BXB_A/3BXB_A_rank08_score0.7962.json	8	18	0.7962	T=0.1, sample=17, score=0.7962, global_score=1.0153, seq_recovery=0.5102
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/3BXB_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/3BXB_A/3BXB_A_rank09_score0.7987.json	9	6	0.7987	T=0.1, sample=5, score=0.7987, global_score=1.0152, seq_recovery=0.5612
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/3BXB_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/3BXB_A/3BXB_A_rank10_score0.7993.json	10	3	0.7993	T=0.1, sample=2, score=0.7993, global_score=1.0149, seq_recovery=0.4643
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4EUL.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4EUL/4EUL_rank01_score0.5890.json	1	2	0.589	T=0.1, sample=1, score=0.5890, global_score=0.6780, seq_recovery=0.7277
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4EUL.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4EUL/4EUL_rank02_score0.5943.json	2	3	0.5943	T=0.1, sample=2, score=0.5943, global_score=0.6872, seq_recovery=0.7030
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4EUL.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4EUL/4EUL_rank03_score0.6002.json	3	9	0.6002	T=0.1, sample=8, score=0.6002, global_score=0.6945, seq_recovery=0.7030
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4EUL.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4EUL/4EUL_rank04_score0.6029.json	4	18	0.6029	T=0.1, sample=17, score=0.6029, global_score=0.6973, seq_recovery=0.7475
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4EUL.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4EUL/4EUL_rank05_score0.6043.json	5	10	0.6043	T=0.1, sample=9, score=0.6043, global_score=0.6958, seq_recovery=0.7277
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4EUL.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4EUL/4EUL_rank06_score0.6092.json	6	11	0.6092	T=0.1, sample=10, score=0.6092, global_score=0.6995, seq_recovery=0.7475
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4EUL.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4EUL/4EUL_rank07_score0.6116.json	7	6	0.6116	T=0.1, sample=5, score=0.6116, global_score=0.7015, seq_recovery=0.6832
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4EUL.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4EUL/4EUL_rank08_score0.6178.json	8	13	0.6178	T=0.1, sample=12, score=0.6178, global_score=0.7099, seq_recovery=0.7030
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4EUL.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4EUL/4EUL_rank09_score0.6179.json	9	14	0.6179	T=0.1, sample=13, score=0.6179, global_score=0.7084, seq_recovery=0.7277
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4EUL.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4EUL/4EUL_rank10_score0.6194.json	10	8	0.6194	T=0.1, sample=7, score=0.6194, global_score=0.7119, seq_recovery=0.7574
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4OQW_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4OQW_A/4OQW_A_rank01_score0.7690.json	1	5	0.769	T=0.1, sample=4, score=0.7690, global_score=1.0142, seq_recovery=0.5051
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4OQW_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4OQW_A/4OQW_A_rank02_score0.7807.json	2	3	0.7807	T=0.1, sample=2, score=0.7807, global_score=1.0238, seq_recovery=0.5000
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4OQW_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4OQW_A/4OQW_A_rank03_score0.7850.json	3	21	0.785	T=0.1, sample=20, score=0.7850, global_score=1.0257, seq_recovery=0.5000
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4OQW_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4OQW_A/4OQW_A_rank04_score0.7901.json	4	10	0.7901	T=0.1, sample=9, score=0.7901, global_score=1.0299, seq_recovery=0.5253
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4OQW_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4OQW_A/4OQW_A_rank05_score0.7910.json	5	11	0.791	T=0.1, sample=10, score=0.7910, global_score=1.0375, seq_recovery=0.5051
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4OQW_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4OQW_A/4OQW_A_rank06_score0.7917.json	6	20	0.7917	T=0.1, sample=19, score=0.7917, global_score=1.0419, seq_recovery=0.4949
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4OQW_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4OQW_A/4OQW_A_rank07_score0.7961.json	7	18	0.7961	T=0.1, sample=17, score=0.7961, global_score=1.0395, seq_recovery=0.5051
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4OQW_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4OQW_A/4OQW_A_rank08_score0.7977.json	8	16	0.7977	T=0.1, sample=15, score=0.7977, global_score=1.0396, seq_recovery=0.5152
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4OQW_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4OQW_A/4OQW_A_rank09_score0.7991.json	9	17	0.7991	T=0.1, sample=16, score=0.7991, global_score=1.0402, seq_recovery=0.4949
/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/seqs/4OQW_A.fa	/work/home/mayongze/ProteinMPNN_project/Graduation_Design/GroupC_fixed_micro_env/output_GroupC/af3_json_top10/4OQW_A/4OQW_A_rank10_score0.7992.json	10	12	0.7992	T=0.1, sample=11, score=0.7992, global_score=1.0475, seq_recovery=0.4848
